产品信息,设备类型,CPE信息
Sun Java System Web Proxy http admin,,cpe:/a:sun:java_system_web_proxy_server:$1
Sun Java System httpd,,cpe:/a:sun:java_system_web_server:$1
Sun Labs Brazil httpd,,cpe:/o:google:android | cpe:/o:linux:linux_kernel
Sun Niagara httpd,,
Sun ONE Application Server,,cpe:/a:sun:one_application_server:$1
Sun ONE Web Server,,cpe:/a:sun:one_web_server:$1
Sun ScApp bytecode transfer httpd,,
Sun Solaris Management Console,,cpe:/a:apache:tomcat | cpe:/o:sun:sunos
Sun StorEdge 3511 http config,storage-misc,
Sun WebServer,,
SunComm 4AFXS VoIP gateway http config,VoIP adapter,
SunRay http config,,cpe:/a:sun:ray_server_software | cpe:/o:sun:sunos
Sunbelt Software CounterSpy Agent antimalware SOAP over HTTP,,
Surfboard httpd,,
SurgeMail webmail,,cpe:/a:netwin:surgemail
Swann DVR8-2600 security camera system httpd,webcam,cpe:/h:swann:dvr8-2600
Swazoo Smalltalk httpd,,
Swiftbase Ltd. Climate Monitor http config,specialized,
SwyxConnect $1 VoIP phone http config,VoIP phone,
Syabas Popcorn Hour media player BitTorrent interface,media device,cpe:/h:syabas:popcorn_hour
Syabas Popcorn Hour media player XML command server httpd,media device,cpe:/h:syabas:popcorn_hour
Syabas Popcorn Hour media player http config,media device,cpe:/h:syabas:popcorn_hour
Sybase Adaptive Server Anywhere httpd,,cpe:/a:sybase:adaptive_server_anywhere:$1
Sybase SQLAnywhere httpd,,
Sybase Unwired Server Synchronization httpd,,
Symantec AntiVirus Scan Engine http config,,cpe:/a:symantec:antivirus_scan_engine
Symantec Endpoint Protection Manager http config,firewall,cpe:/a:apache:tomcat:$1
Symantec Endpoint Protection Manager http config,firewall,cpe:/a:apache:tomcat:$2 | cpe:/a:symantec:endpoint_protection_manager
Symantec Endpoint Protection Manager http config,firewall,cpe:/a:symantec:endpoint_protection_manager
Symantec Endpoint Protection Manager httpd,,cpe:/a:symantec:endpoint_protection_manager
Symantec PGP Universal Server http admin,,cpe:/a:symantec:pgp_universal_server
Symantec PGP Verified Directory httpd,,
Symantec PGP Web Messenger httpd,,
Symantec smtp mail security http config,,cpe:/o:microsoft:windows
Synacast Media Server http config,,
Synaccess NP-16 or NP-1601D power management system httpd,power-misc,
Synametrics Web Server,,cpe:/a:synametrics:syncrify
SyncML PIM sync server for MultiSync,,
Synchronet BBS httpd,,cpe:/a:rob_swindell:synchronet:$1
Synchronet BBS httpd,,cpe:/a:rob_swindell:synchronet:$1 | cpe:/o:microsoft:windows
Syncthing Web UI,,cpe:/a:syncthing:syncthing
Syncthing WebUI,,cpe:/a:syncthing:syncthing
Syncthing,,cpe:/a:syncthing:syncthing:$2
SysMaster httpd,media device,
Systinet Server for Java,,
T-Com Speedport $1 WAP http config,WAP,
T-Com Speedport W $1 http config,broadband router,
T-Com Speedport W 101V http config,WAP,
T-Com Speedport W 501V WAP http config,WAP,
T-Com Speedport W 501V http config,broadband router,
T-Com Speedport W 700 http config,broadband router,
T-Com Speedport W 723V WAP http config,WAP,
T-Home Entertain set-top box httpd,media device,
T-Home Telekom Media Receiver httpd,media device,
TABS httpd,,cpe:/o:microsoft:windows
TAC Xenta $1 programmable logic controller httpd,,cpe:/h:tac:xenta_$1
TAC Xenta httpd,,
TCS John Huxley Gaming Floor Live httpd,,
TDSi Ethernet to Serial bridge,,cpe:/a:lwip_project:lwip:$1
TED 5000 power use monitor,power-device,
THEO+Server,,cpe:/o:theos:theos
TIB Rendezvous http config,,
TINIWebServer Java httpd,,cpe:/o:systronix:tinios
TJWS httpd,,
TL-069 remote access,,
TMeter traffic meter httpd,,cpe:/a:trafficreg:tmeter:$1 | cpe:/o:microsoft:windows
TMeter,,cpe:/a:trafficreg:tmeter:$1 | cpe:/o:microsoft:windows
TP-LINK $1 WAP http config,WAP,cpe:/h:tp-link:$1
TP-LINK $1 http config,,cpe:/h:tp-link:$1
TP-LINK $1 powerline WiFi extender http config,WAP,cpe:/h:tp-link:$1
TP-LINK $1 powerline extender http config,WAP,cpe:/h:tp-link:$1
TP-LINK $1 powerline extender http config,switch,cpe:/h:tp-link:$1
TP-LINK $1 router http config,router,cpe:/h:tp-link:$1
TP-LINK $1 router httpd,broadband router,cpe:/h:tp-link:$1
TP-LINK $1 switch http admin,switch,cpe:/h:tp-link:$1
TP-LINK $1 switch httpd,switch,cpe:/h:tp-link:$1
TP-LINK $1 wireless adapter http config,,cpe:/h:tp-link:$1
TP-LINK Easy Smart switch admin httpd,switch,
TP-LINK Smart Plug fake_httpd,power-misc,
TP-LINK TD-8901N ADSL modem http admin,broadband router,cpe:/h:tp-link:td-8901n
TP-LINK TD-W8968 http admin,WAP,cpe:/h:tp-link:td-w8968
TP-LINK TR-069 remote access,broadband router,
TP-LINK WAP http config,WAP,
TP-LINK Web Smart Switch http config,switch,
TP-LINK embedded httpd,,
TP-LINK router http config,,
TP-LINK switch http admin,switch,
TP-LINK switch httpd,switch,
TP-Link ADSL+ modem httpd,broadband router,
TP-Link TL-SG3210 switch admin httpd,switch,cpe:/h:tp-link:tl-sg3210
TR-069 remote access,,
TRENDnet $1 WAP http config,WAP,cpe:/h:trendnet:$1
TRENDnet $1 httpd,webcam,cpe:/h:trendnet:$1
TRENDnet $1 switch http config,switch,cpe:/h:trendnet:$1
TRENDnet DSL router http config,router,
TRENDnet IP camera httpd,webcam,
TRENDnet MFP print server http config,print server,
TRENDnet SMART24B switch http config,switch,cpe:/h:trendnet:smart24b
TRENDnet TV-IP100 or TV-IP110 webcam display httpd,webcam,cpe:/h:trendnet:tv-ip100 | cpe:/h:trendnet:tv-ip110
TRENDnet TV-IP110W webcam display httpd,webcam,cpe:/h:trendnet:tv-ip110w
TRENDnet TV-IP110w or TV-IP422W webcam display httpd,webcam,cpe:/h:trendnet:tv-ip110w | cpe:/h:trendnet:tv-ip422w
TRENDnet TV-IP301 webcam display httpd,webcam,cpe:/h:trendnet:tv-ip301
TS3 Soundboard-Plugin,,cpe:/a:michael_friese:ts3sb
TSM httpd,,cpe:/a:ibm:tivoli_storage_manager:$1
TUX httpd,,cpe:/o:linux:linux_kernel
Tableau API server,,cpe:/a:tableausoftware:tableau_server
Tableau API server,,cpe:/a:tableausoftware:tableau_server::::es
Tableau API server,,cpe:/a:tableausoftware:tableau_server::::fr
Tablo Network TV tuner,media device,
Tadiran MGCP phone http config,VoIP phone,
Talisen Secure Access Gateway,,cpe:/a:talisen:secure_access_gateway
Talk Talk YouView set-top box http config,media device,
TalkSwitch TS-350i VoIP phone http config,VoIP phone,cpe:/h:talkswitch:ts-350i
TalkSwitch/FortiVoice web manager,VoIP phone,
TallyGenicom Intelliprint $1 http config,printer,
Tandberg 2500 video conferencing http config,webcam,
Tandberg 3000 MXP video conferencing http config,webcam,
Tandberg Border Controller VoIP proxy,proxy server,cpe:/o:linux:linux_kernel:2.6
Tandberg Codian 3510 video gateway http config,media device,
Tandberg Data StorageLoader Ultrium LTO http config,storage-misc,
Tandberg Data StorageLoader http config,storage-misc,
Tandberg MXP video conferencing http config,webcam,
Tandberg Television httpd,media device,
Tandberg codec T150 http config,VoIP phone,cpe:/h:tandberg:codec_t150
Tandberg video conferencing http config,media device,
Tandberg videoconference httpd,,
Tandem NSK D40 http config,,
Tarantella httpd,,
Targa WR500/Speedport WV500V WAP http config,WAP,
Tcl-Webserver,,
TeamDrive,,cpe:/a:teamdrive:teamdrive
TeamViewer httpd,,cpe:/a:teamviewer:teamviewer
TechniSat Digicorder HD S2 satellite receiver http interface,media device,
Technicolor DSL modem http admin,broadband router,
Technicolor TG787 VoIP gateway http admin,VoIP adapter,
Technicolor TG789vn broadband router,broadband router,
Technisat Embedded Web Server,media device,
Techno Vision Security System http config,webcam,
Teckinfo InterDialog UCCS,,cpe:/a:teckinfo:interdialog_uccs
Tecom Co. SIP-Phone http config,VoIP phone,
Tektronix $1 waveform monitor http ui,,cpe:/h:tektronix:$1
Tektronix Phaser printer webadmin,printer,
Tektronix oscilloscope http viewer,,
Tektronix printer httpd,printer,
Telekom Speedport http config,broadband router,
Televes CoaxData coax-to-Ethernet bridge,bridge,
Telmex modem admin httpd,broadband router,
Tenda N60 WAP http admin,WAP,cpe:/h:tenda:n60
Tenda WAP http admin,WAP,
Tengine httpd,,cpe:/a:alibaba:tengine
Tengine httpd,,cpe:/a:alibaba:tengine:$1
Tenvis IP camera admin httpd,webcam,
Teradata Parallel Upgrade Tool,,cpe:/a:teradata:tdput:$1
Teradata Viewpoint,,cpe:/a:teradata:viewpoint
Teradici PCoIP remote management http config,remote management,
Terayon cable modem http config,broadband router,
Termika OlimpOKS PHttpd,,cpe:/a:microsoft:asp.net:$3 | cpe:/a:termika:olimpoks
Termika OlimpOKS PHttpd,,cpe:/a:microsoft:asp.net:$3 | cpe:/a:termika:olimpoks | cpe:/o:microsoft:windows
Teros application firewall,firewall,
The Energy Detective MTU$1 http admin,power-device,cpe:/h:the_energy_detective:mtu$1
Thin httpd,,cpe:/a:macournoyer:thin
Thin httpd,,cpe:/a:macournoyer:thin:$1
ThinKnx web ui,specialized,
ThinLinc VSM xmlrpc,,cpe:/a:cendio:thinlinc
ThinStation http admin,,cpe:/o:linux:linux_kernel
ThinkFree Server Integrator,,
Thomson Cable Modem Web Diagnostics,broadband router,
Thomson DSL router TR-069,broadband router,
Thomson SpeedTouch 536i router http config,router,cpe:/h:thomson:536i
Thomson TR-069 remote access,broadband router,
Thomson TWG850 router http config,router,cpe:/h:thomson:twg850
Thunder Xware,,
Thunderstone Texis search appliance http config,,
Thunderstone Texis-monitor httpd,,
Thy httpd,,
Thy httpd,,cpe:/o:debian:debian_linux | cpe:/o:linux:linux_kernel
TiVo Calypso Desktop,,cpe:/o:apple:mac_os_x
TiVo Desktop Server http config,,cpe:/o:microsoft:windows
TiVo Desktop httpd,,cpe:/o:microsoft:windows
TiVo To Go httpd,media device,
TiVo Web Project http interface,media device,
TiVo set-top box network adapter http config,media device,
TiVoWebPlus Project httpd,media device,
TimesTen httpd,,
TinyHTTPProxy,,
Tinyweb httpd,,cpe:/o:microsoft:windows
TiveWebPlus Project httpd,media device,
Tivoli Access Manager WebSEAL httpd,,cpe:/a:ibm:tivoli_access_manager_for_e-business
Tivoli Access Manager WebSEAL httpd,,cpe:/a:ibm:tivoli_access_manager_for_e-business:$1
Tivoli Storage Manager http interface,,cpe:/a:ibm:tivoli_storage_manager:$1
Tixati bittorrent client Web interface,,cpe:/a:tixati:tixati
Tizen Multiscreen SDK httpd,media device,
TmaxSoft WebtoB httpd,,
Tntnet httpd,,cpe:/a:tntnet:tntnet:$1
Tntnet,,cpe:/a:tntnet:tntnet:$1
TomTom httpd,,
Tomato WAP firmware httpd,WAP,cpe:/o:linux:linux_kernel
TongWeb Application Server,,cpe:/a:tongtech:tongweb:$1
TongWeb Server,,
Top Layer Networks AppSafe/AppSwitch IDS http config,,
Topfield HDPVR satellite decoder http config,media device,
Tor built-in httpd,,cpe:/a:torproject:tor
Tor directory server,,cpe:/a:torproject:tor
Tor directory,,cpe:/a:torproject:tor
Tornado httpd,,cpe:/a:tornadoweb:tornado:$1
Toshiba Tec printer http config,printer,
Toshiba e-STUDIO 233 copier/printer/fax http config,printer,
Toshiba e-STUDIO printer http config,printer,
Tracd,,cpe:/a:python:python:$2
Trane Tracer Summit building control httpd,remote management,
Trango $2 AP http config,broadband router,
Transmission BitTorrent management httpd,,cpe:/a:transmissionbt:transmission
Transmission BitTorrent management httpd,,cpe:/a:transmissionbt:transmission:2.52
Transtec BaseSwitch 801FM http config,switch,
Trapeze-Srv,,
TreeNeWS httpd,WAP,cpe:/h:3com:wx2200
TreeNeWS httpd,switch,cpe:/h:enterasys:rbt-8200
Trend $1 building control system httpd,security-misc,cpe:/h:trend:$1
Trend 963 Supervisor building control system,specialized,cpe:/a:trend_control_systems:963_supervisor
Trend 963 Supervisor building control system,specialized,cpe:/a:trend_control_systems:963_supervisor::::da
Trend 963 Supervisor building control system,specialized,cpe:/a:trend_control_systems:963_supervisor::::es
Trend 963 Supervisor building control system,specialized,cpe:/a:trend_control_systems:963_supervisor::::fi
Trend 963 Supervisor building control system,specialized,cpe:/a:trend_control_systems:963_supervisor::::fr
Trend 963 Supervisor building control system,specialized,cpe:/a:trend_control_systems:963_supervisor::::pl
Trend 963 Supervisor building control system,specialized,cpe:/a:trend_control_systems:963_supervisor::::pt
Trend 963 Supervisor building control system,specialized,cpe:/a:trend_control_systems:963_supervisor::::sv
Trend Micro CSC module for Cisco ASA 5510 firewall httpd,,cpe:/h:cisco:asa_5510
Trend Micro OfficeScan Antivirus http config,,
Trend Micro OfficeScan Antivirus http config,,cpe:/o:microsoft:windows
Trend Micro OfficeScan,,cpe:/a:trend_micro:officescan
TriActive MicroAgent httpd,,
Triax TSS 400 SATIP server httpd,media device,cpe:/h:triax:tss_400
Triax telecom equipment setup httpd,,
Tridium Niagara httpd,specialized,cpe:/a:tridium:niagara:$1
Tridium Niagara httpd,specialized,cpe:/a:tridium:niagara:$2
Tridium Niagara,,cpe:/a:tridium:niagara:4
Trillian IM Everywhere http plugin,,cpe:/a:trillian:trillian | cpe:/o:microsoft:windows
Troxo IISGuard,,cpe:/o:microsoft:windows
True North Soft WebMail httpd,,cpe:/o:microsoft:windows
Tvants Broadcast Server httpd,media device,
Tvheadend http config,,cpe:/o:linux:linux_kernel
Tweak XP web advertisement blocker,,
TwistedWeb httpd,,cpe:/a:twistedmatrix:twisted:$1 | cpe:/a:twistedmatrix:twistedweb:$2
TwistedWeb httpd,,cpe:/a:twistedmatrix:twisted:$1 | cpe:/a:twistedmatrix:twistedweb:$2 | cpe:/o:apple:mac_os_x
TwistedWeb httpd,,cpe:/a:twistedmatrix:twisted:$1 | cpe:/a:twistedmatrix:twistedweb:svn-trunk
TwistedWeb httpd,,cpe:/a:twistedmatrix:twistedweb:$1
UBServer,,
UCS R-Keeper hospitality system,,cpe:/a:ucs:r-keeper:$2
UI-View Automatic Packet Reporting System httpd,,cpe:/o:microsoft:windows
UPS_Server httpd,power-device,
UPS_Server httpd,power-misc,
USRobotics ADSL router http config,broadband router,
USRobotics USR8200 firewall http config,firewall,cpe:/h:usrobotics:usr8200
USRobotics USR997748 switch http config,,cpe:/h:usrobotics:usr997748
USRobotics router http config,broadband router,
Ubicom embedded httpd,webcam,cpe:/h:veo:observer
Ubicom httpd,WAP,cpe:/a:ubicom:httpd:$1
Ubicom httpd,WAP,cpe:/a:ubicom:httpd:$1 | cpe:/h:dlink:$2
Ubicom httpd,WAP,cpe:/a:ubicom:httpd:$1 | cpe:/h:dlink:dir-625
Ubicom httpd,WAP,cpe:/a:ubicom:httpd:$1 | cpe:/h:dlink:dir-655
Ubicom httpd,WAP,cpe:/a:ubicom:httpd:$1 | cpe:/h:linksys:wga600n
Ubicom httpd,WAP,cpe:/a:ubicom:httpd:$1 | cpe:/h:netgear:wnhde111
Ubicom httpd,bridge,cpe:/a:ubicom:httpd:$1 | cpe:/h:linksys:wet54g
Ubicom httpd,bridge,cpe:/a:ubicom:httpd:$1 | cpe:/h:smc:smc2870w
Ubicom httpd,broadband router,cpe:/a:ubicom:httpd:$1 | cpe:/h:cradlepoint:$2
Ubicom httpd,media device,cpe:/a:ubicom:httpd:$1 | cpe:/h:infocus:in2116
Ubicom httpd,print server,cpe:/a:ubicom:httpd:$1
Ubicom httpd,router,cpe:/a:ubicom:httpd:$1
Ubicom httpd,router,cpe:/a:ubicom:httpd:$1 | cpe:/h:dlink:$2
Ubicom httpd,,cpe:/a:ubicom:httpd:$1
Ubicom,WAP,cpe:/h:dlink:dgl-4500
Ubicom,WAP,cpe:/h:microtek:ml-wes
Ubiquiti Edge router httpd,router,
Ubiquiti UniFi guest redirection,,
UltiDev Cassini httpd,,cpe:/a:ultidev:cassini:$1 | cpe:/o:microsoft:windows
Ultima online sphere httpd,,
Ultra Smart Platform ,,cpe:/a:ultrasafe:ultra-smart
Ultraseek httpd,,cpe:/a:ultraseek:ultraseek:$1
Unify OpenStage or OpenScape VoIP phone,VoIP phone,
Unisys ClearPath MCP http config,,
Unitronics $1 ($2) PLC http config,,cpe:/h:unitronics:$1:$3
Universal Devices Insteon home automation http config,specialized,
Universal Devices Insteon home automation http config,specialized,cpe:/o:universal_devices:ucos
Uniview Server(Unisvr),,cpe:/a:uniview:http_server
Unknown trojan,,cpe:/o:microsoft:windows
Unreal Tournament http admin,,
UrBackup httpd,,cpe:/a:martin_raiber:urbackup
Urchin RSS aggregator,,
Urchin Web Statistics httpd,,cpe:/a:google:urchin
UserGate http report area,,cpe:/o:microsoft:windows
Uvicorn,,cpe:/a:encode:uvicorn
V-Ray License Server,,cpe:/a:chaosgroup:vray_license_server:$1
VCS AG VideoJet 1000 http config,media device,
VCS-VideoJet-Webserver httpd,webcam,
VDR Streamdev plugin httpd,media device,
VDR-Admin httpd,,
VLC HTTP streamer,,cpe:/a:videolan:vlc_media_player
VLC media player http interface,,cpe:/a:videolan:vlc_media_player
VLC media player http interface,,cpe:/a:videolan:vlc_media_player:$1
VLC media streaming httpd,,cpe:/a:videolan:vlc_media_player
VMWare Horizon,,cpe:/a:vmware:horizon
VMware ESX 3.5 Server httpd,,cpe:/o:vmware:esx:3.5
VMware ESX 4.0 Server httpd,,cpe:/o:vmware:esx:4.0
VMware ESX Server httpd,,cpe:/o:vmware:esx
VMware ESX Server httpd,,cpe:/o:vmware:esx:$1
VMware ESXi 4.1 Server httpd,,cpe:/o:vmware:esxi:4.1
VMware ESXi Server httpd,,cpe:/o:vmware:esxi
VMware ESXi Web UI,,cpe:/o:vmware:esxi
VMware Horizon View,,cpe:/a:vmware:horizon_view
VMware Horizon,,cpe:/a:vmware:horizon
VMware Server 2 http config,,cpe:/a:vmware:server:2
VMware Server http config,,
VMware Server http config,,cpe:/a:vmware:server
VMware Server http config,,cpe:/a:vmware:server:$1
VMware Server http config,,cpe:/a:vmware:server:2
VMware View Manager httpd,,
VMware VirtualCenter Web service,,
VMware VirtualCenter httpd,,
VMware hostd httpd,,
VMware vCenter Converter httpd,,
VMware vCenter Server httpd,,
VMware vCloud Director,,cpe:/a:vmware:vcloud_director
VOMwebserver,,
Varnish Agent,,cpe:/a:varnish-cache:varnish_agent
Velocity Software zVPS httpd,,cpe:/o:ibm:z%2fvm:$2
VeriSign Advanced Transaction Look-up Signaling http redirector,,
Veritas backup exec continuous protection httpd,,cpe:/a:symantec:veritas_backup_exec
Verizon FIOS Actiontec http config,broadband router,
Verizon MiFi 2200 E7C5 WAP http config,WAP,
Verizon MiFi 4510L WAP http config,WAP,
Verizon router http UI,broadband router,
Vernier Networks Access Manager http config,,
Vertamedia fasthttp,,cpe:/a:vertamedia:fasthttp
Vertical Edge 5000i VoIP phone http config,VoIP phone,cpe:/h:vertical:edge_5000i
Vibe Streamer httpd,,cpe:/o:microsoft:windows
Vibe Streamer music server httpd,,cpe:/o:microsoft:windows
VibeStreamer streaming media httpd,,
Vidat V7 httpd,,cpe:/a:vidat_consulting:v7:$1
VideoLAN Server streaming media,,
ViewSonic PJD6521 projector http config,media device,cpe:/h:viewsonic:pjd6521
Vina Technologies T1 Integrator http config,telecom-misc,
Vina Technologies eLink 200 http config,router,
Viola ESERV-10 httpd,,
Virata-EmWeb,VoIP adapter,"cpe:/a:virata:emweb:$SUBST(1,""_"",""."")"
Virata-EmWeb,VoIP phone,"cpe:/a:virata:emweb:$SUBST(1,""_"",""."")"
Virata-EmWeb,VoIP phone,"cpe:/a:virata:emweb:$SUBST(1,""_"",""."") | cpe:/h:siemens:optipoint_$2"
Virata-EmWeb,broadband router,"cpe:/a:virata:emweb:$SUBST(1,""_"",""."")"
Virata-EmWeb,broadband router,"cpe:/a:virata:emweb:$SUBST(1,""_"",""."") | cpe:/h:actiontec:r1524su"
Virata-EmWeb,firewall,"cpe:/a:virata:emweb:$SUBST(1,""_"",""."")"
Virata-EmWeb,printer,"cpe:/a:virata:emweb:$SUBST(1,""_"",""."")"
Virata-EmWeb,printer,"cpe:/a:virata:emweb:$SUBST(1,""_"",""."") | cpe:/h:hp:color_laserjet_2840"
Virata-EmWeb,printer,"cpe:/a:virata:emweb:$SUBST(1,""_"",""."") | cpe:/h:hp:color_laserjet_3500"
Virata-EmWeb,printer,"cpe:/a:virata:emweb:$SUBST(1,""_"",""."") | cpe:/h:hp:deskjet_5800"
Virata-EmWeb,printer,"cpe:/a:virata:emweb:$SUBST(1,""_"",""."") | cpe:/h:hp:laserjet"
Virata-EmWeb,printer,"cpe:/a:virata:emweb:$SUBST(1,""_"",""."") | cpe:/h:hp:laserjet_$2"
Virata-EmWeb,printer,"cpe:/a:virata:emweb:$SUBST(1,""_"",""."") | cpe:/h:hp:laserjet_2430"
Virata-EmWeb,printer,"cpe:/a:virata:emweb:$SUBST(1,""_"",""."") | cpe:/h:hp:officejet_$2"
Virata-EmWeb,printer,"cpe:/a:virata:emweb:$SUBST(1,""_"",""."") | cpe:/h:hp:officejet_pro_$2"
Virata-EmWeb,printer,"cpe:/a:virata:emweb:$SUBST(1,""_"",""."") | cpe:/h:hp:officejet_pro_l7680"
Virata-EmWeb,security-misc,"cpe:/a:virata:emweb:$SUBST(1,""_"",""."")"
Virata-EmWeb,switch,"cpe:/a:virata:emweb:$SUBST(1,""_"",""."")"
Virata-EmWeb,terminal server,"cpe:/a:virata:emweb:$SUBST(1,""_"",""."")"
Virata-EmWeb,,"cpe:/a:virata:emweb:$SUBST(1,""_"",""."")"
Virgin Super Hub media player http config,media device,
Virtual Mic http synchronization,media device,cpe:/o:apple:iphone_os
Virtual Programming Lab for Moodle,,cpe:/a:ulpgc:vpl:$1
Visualware NetQCheck httpd,,cpe:/a:visualware:netqcheck
Vivotek 3102 Camera http config,webcam,
Vivotek IP7131 Network Camera http config,webcam,cpe:/h:vivotek:ip7131
Vivotek Network Camera http config,webcam,
VoIP/POTS gateway http config,VoIP adapter,
Vodafone Station captive portal httpd,,
Vodafone Station http config,WAP,
Voodoo chat daemon httpd,,
Voodoo http chat daemon,,
Vtech ARX168 WAP,WAP,
Vuze BitTorrent remote http admin,,cpe:/a:azureus:vuze
Vuze remote http admin,,cpe:/a:azureus:vuze
VypressChat httpd,,cpe:/o:microsoft:windows
W&T Web-Thermograph NTC http config,specialized,
W&T Web-Thermograph http config,specialized,
W3Mfc,firewall,
WASD httpd,,cpe:/o:hp:openvms
WDLinux Control Panel,,cpe:/a:wdlinux:wdcp
WEBrick httpd,,cpe:/a:openssl:openssl:$4 | cpe:/a:ruby-lang:ruby:$2
WEBrick httpd,,cpe:/a:ruby-lang:ruby:$2
WIBU-SYSTEMS HTTP Server,specialized,
WMI HTTP Server,media device,cpe:/a:php:php:$1
WMI,switch,cpe:/h:3com:4500
WMI,switch,cpe:/h:3com:5500g-ei
WN httpd,,
WS02 Carbon middleware,,
WSGIServer,,cpe:/a:python:python:$2 | cpe:/a:python:wsgiref:$1
WSO2 Enterprise Service Bus,,cpe:/a:wso2:esb
WWW File Share Pro httpd,,cpe:/o:microsoft:windows
WWWinamp remote control httpd,,cpe:/o:microsoft:windows
WYM httpd,media device,
WYM httpd,webcam,
WYM httpd,,
Wago ethernet controller http config,,
Wakanda httpd,,cpe:/a:wakanda:wakanda_application_framework:$2 | cpe:/a:wakanda:wakanda_server:$1
Wakanda httpd,,cpe:/a:wakanda:wakanda_server:$1
Wapapi,,
Warp Haskell httpd,,
WatchGuard FireBox XTM firewall http config,firewall,
WatchGuard Firebox Soho Firewall http config,firewall,
WatchGuard Firebox http config,firewall,
WatchGuard Firewall http config,firewall,
WatchGuard Fireware XTM web UI,,cpe:/a:progrium:cometcatchr | cpe:/a:watchguard:fireware_xtm
WatchGuard Fireware httpd,,cpe:/o:watchguard:fireware
WatchGuard Quarantine Server,,cpe:/a:watchguard:quarantine_server
WatchGuard SOHO $1 http config,firewall,cpe:/h:watchguard:soho_$1
Waveplus HTTPD,broadband router,cpe:/h:thomson:tg508
Web Crossing collaboration httpd,,
Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd,,cpe:/o:linux:linux_kernel
Web-Server httpd,printer,
Web-Smart Gigabit Ethernet Switch http config,switch,
WebCT httpd,,
WebCTRL building automation http ui,,cpe:/a:automatedlogic:webctrl
WebCam2000 httpd,,
WebCam2000 httpd,,cpe:/o:microsoft:windows
WebCit,,cpe:/a:citadel:ux | cpe:/a:citadel:webcit:$1
WebCit,,cpe:/a:citadel:ux:$2 | cpe:/a:citadel:webcit:$1
WebCompanion httpd $2,,cpe:/a:filemaker:filemaker_pro:$1
WebFS httpd,,
WebFinger httpd,,
WebIOPi IoT framework,,cpe:/a:python:python:$2 | cpe:/a:trouch:webiopi:$1
WebLogic applications server,,cpe:/a:oracle:weblogic_server:$1
WebLogic httpd,,cpe:/a:oracle:weblogic_server
WebLogic httpd,,cpe:/a:oracle:weblogic_server:$1
WebPidgin-Z instant messaging interface,,
WebSTAR httpd,,
WebSTAR httpd,,cpe:/o:apple:mac_os_x
WebSTAR,,
WebSVR httpd,,cpe:/o:microsoft:windows
Webbit httpd,,cpe:/a:joewalnes:webbit
Webduino httpd,,
Webduino,,
WebminServer httpd,,
Websense Block Message httpd,,
Websense Content Gateway Manager http config,,cpe:/a:websense:websense_content_content_gateway:$1
Webtrends httpd,,
Web,firewall,
Welltech Wellgate VoIP adapter http config,VoIP adapter,
Werkzeug httpd,,cpe:/a:python:python:$2
Werkzeug httpd,,cpe:/a:python:python:$3
Westell C90 ADSL router http config,broadband router,cpe:/a:rapidlogic:httpd:$1 | cpe:/h:westell:c90
Westell broadband router TR-069,broadband router,
Westell cable modem http config,broadband router,
Western Digital My Book http config,storage-misc,
Western Digital My Book http config,storage-misc,cpe:/a:php:php:$1
Western Digital MyNet $1 NAS httpd,storage-misc,cpe:/h:wdc:my_net_$1 | cpe:/o:wdc:my_net_firmware:$2
Western Digital MyNet N$1 admin httpd,WAP,cpe:/h:western_digital:n$1 | cpe:/o:linux:linux_kernel
Western Digital WD TV Live media player http config,media device,
WhatsUp Gold httpd,,cpe:/o:microsoft:windows
WiFi Keyboard for Android,phone,cpe:/o:google:android | cpe:/o:linux:linux_kernel
Wibu CodeMeter httpd,,
WibuKey license server,,cpe:/a:wibu:wibukey
Wifi Pineapple Jasager httpd,,cpe:/a:php:php:$1
WifiZoo http control panel,,cpe:/a:python:python:$2 | cpe:/a:python:simplehttpserver:$1
WildFly Application Server,,cpe:/a:redhat:wildfly
Wildcat Interactive Net Server httpd,,cpe:/o:microsoft:windows
Winamp Web Interface,,cpe:/a:nullsoft:winamp
Wind Manage httpd,,cpe:/a:windriver:wind_manage:$1
Wind River Web Server,storage-misc,
Wind River Web Server,,cpe:/a:windriver:web_server:$1
WindRiver WebServer,VoIP phone,cpe:/h:cisco:unified_ip_phone_$2
WindWeb,PBX,cpe:/a:windriver:windweb:$1
WindWeb,VoIP phone,cpe:/a:windriver:windweb:$1
WindWeb,broadband router,cpe:/a:windriver:windweb:$1
WindWeb,printer,cpe:/a:windriver:windweb:$1
WindWeb,printer,cpe:/a:windriver:windweb:$1 | cpe:/h:xerox:8830
WindWeb,remote management,cpe:/a:windriver:windweb:$1
WindWeb,router,cpe:/a:windriver:windweb:$1
WindWeb,router,cpe:/a:windriver:windweb:$1 | cpe:/h:nomadix:$2
WindWeb,router,cpe:/a:windriver:windweb:1.0
WindWeb,specialized,cpe:/a:windriver:windweb:$1
WindWeb,storage-misc,cpe:/a:windriver:windweb:$1
WindWeb,switch,cpe:/a:windriver:windweb
WindWeb,,cpe:/a:windriver:windweb:$1
Wink Hub 2 API httpd,specialized,cpe:/h:wink:hub_2
Winstone Servlet Engine,,
Wirehog http transfer interface,,cpe:/a:python:python:$2
WoWEmu httpd,,
Workflow Envelope httpd,,cpe:/a:workflow_products:envelope
