产品信息,设备类型,CPE信息
CMD.EXE,,"cpe:/o:microsoft:windows_$SUBST(1,"" "",""_"")"
Metasploitable root shell,,
Microsoft Windows $1 cmd.exe,,cpe:/o:microsoft:windows
Microsoft Windows cmd.exe,,cpe:/o:microsoft:windows
Plan 9 rc shell,,cpe:/o:belllabs:plan_9
ROOT SHELL,,
bind shell,,
Bitcoin JSON-RPC,,cpe:/a:bitcoin:bitcoind
Bitcoin JSON-RPC,,cpe:/a:bitcoin:bitcoind:$1
Bitcoin or Litecoin JSON-RPC,,
Dash cryptocurrency JSON-RPC,,
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.2.0
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.3.0
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.3.10
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.3.10$1
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.3.17
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.3.17$1
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.3.18
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.3.18$1
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.3.19
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.3.19$1
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.3.20
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.3.20$1
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.3.20.1
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.3.20.2
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.3.21
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.3.21$1
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.3.22
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.3.22$1
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.3.23
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.3.23$1
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.3.24
Bitcoin digital currency server,,cpe:/a:bitcoin:bitcoind:0.3.24$1
Bitpeer,,
Dash cryptocurrency server,,
Bitdefender Remote Admin Console,,cpe:/o:microsoft:windows
